EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	14:22:24	0	0.1000	3.499714788985985	2.1147241592407227	0.6827	0.2949	0.4119	1.8861196041107178	0.6749	0.3379	0.4503
1	14:35:53	0	0.1000	1.8242458619135717	1.516548991203308	0.6789	0.4319	0.5279	1.3589603900909424	0.7248	0.4267	0.5372
2	14:49:35	0	0.1000	1.4728153798749992	1.3381723165512085	0.582	0.5748	0.5784	1.1774954795837402	0.6097	0.603	0.6063
3	15:03:06	0	0.1000	1.3237262324081454	1.2505520582199097	0.6958	0.4693	0.5605	1.1427083015441895	0.7198	0.4775	0.5741
4	15:16:29	1	0.1000	1.2112957430618436	1.1431678533554077	0.6181	0.5714	0.5938	1.0229501724243164	0.6573	0.6057	0.6304
5	15:29:55	0	0.1000	1.1264846421903072	1.1253770589828491	0.7445	0.5058	0.6024	1.0742299556732178	0.7404	0.4976	0.5952
6	15:43:30	0	0.1000	1.0538648369425503	1.0300228595733643	0.6032	0.5922	0.5976	1.0168070793151855	0.6088	0.6313	0.6198
7	15:57:01	1	0.1000	1.0124317929564908	1.0239020586013794	0.5745	0.6661	0.6169	0.9984006881713867	0.5692	0.6296	0.5979
8	16:10:36	0	0.1000	0.9473893316098432	0.9687531590461731	0.6475	0.6071	0.6266	0.9403352737426758	0.6503	0.6251	0.6375
9	16:24:29	0	0.1000	0.929263245876275	0.9857061505317688	0.6276	0.6271	0.6273	0.962199866771698	0.6617	0.6427	0.6521
10	16:38:02	0	0.1000	0.8951095500804859	0.9121346473693848	0.6536	0.6487	0.6511	0.9191503524780273	0.6751	0.6489	0.6617
11	16:51:42	0	0.1000	0.8587587355485176	0.9038427472114563	0.6723	0.5997	0.6339	0.9753092527389526	0.693	0.5943	0.6399
12	17:05:07	1	0.1000	0.8432727989496133	0.8111401796340942	0.704	0.6362	0.6684	0.9412580132484436	0.6743	0.6168	0.6443
13	17:18:49	0	0.1000	0.809795353873815	0.789620578289032	0.7073	0.6163	0.6587	0.8911310434341431	0.6905	0.5905	0.6366
